"","cTEC","Ccl21a_high","TAC_TEC","Aire_positive","Late_Aire","Tuft"
"Aire+_zsgreen+",2.87769784172662,2.13299874529486,52.6315789473684,92.2222222222222,46.3576158940397,10.126582278481
"Aire-_zsgreen+",35.9712230215827,32.3713927227102,10.5263157894737,0,43.046357615894,67.0886075949367
"Aire+_zsgreen-",2.87769784172662,4.39146800501882,17.8947368421053,7.77777777777778,1.32450331125828,0
"Aire-_zsgreen-",58.273381294964,61.1041405269762,18.9473684210526,0,9.27152317880795,22.7848101265823
"Ackr4+_zsgreen+",26.6187050359712,3.13676286072773,3.15789473684211,4.44444444444444,1.32450331125828,32.9113924050633
"Ackr4-_zsgreen+",12.2302158273381,31.3676286072773,60,87.7777777777778,88.0794701986755,44.3037974683544
"Ackr4+_zsgreen-",41.0071942446043,3.51317440401506,0,0,0,6.32911392405063
"Ackr4-_zsgreen-",20.1438848920863,61.9824341279799,36.8421052631579,7.77777777777778,10.5960264900662,16.4556962025316
"Trpm5+_zsgreen+",0,0.250941028858218,2.10526315789474,2.22222222222222,5.29801324503311,73.4177215189873
"Trpm5-_zsgreen+",38.8489208633094,34.2534504391468,61.0526315789474,90,84.1059602649007,3.79746835443038
"Trpm5+_zsgreen-",0.719424460431655,0.752823086574655,2.10526315789474,0,0,22.7848101265823
"Trpm5-_zsgreen-",60.431654676259,64.7427854454203,34.7368421052632,7.77777777777778,10.5960264900662,0
"Fezf2+_zsgreen+",8.63309352517986,19.4479297365119,63.1578947368421,83.3333333333333,71.523178807947,18.9873417721519
"Fezf2-_zsgreen+",30.2158273381295,15.0564617314931,0,8.88888888888889,17.8807947019868,58.2278481012658
"Fezf2+_zsgreen-",6.47482014388489,33.2496863237139,29.4736842105263,5.55555555555556,5.96026490066225,2.53164556962025
"Fezf2-_zsgreen-",54.6762589928058,32.2459222082811,7.36842105263158,2.22222222222222,4.63576158940397,20.253164556962
"Krt10+_zsgreen+",7.9136690647482,3.63864491844417,0,1.11111111111111,12.5827814569536,8.86075949367089
"Krt10-_zsgreen+",30.9352517985612,30.8657465495609,63.1578947368421,91.1111111111111,76.8211920529801,68.3544303797468
"Krt10+_zsgreen-",7.9136690647482,6.52446675031368,1.05263157894737,0,1.32450331125828,2.53164556962025
"Krt10-_zsgreen-",53.2374100719424,58.9711417816813,35.7894736842105,7.77777777777778,9.27152317880795,20.253164556962
"Ccl21a+_zsgreen+",12.2302158273381,34.2534504391468,14.7368421052632,7.77777777777778,5.29801324503311,21.5189873417722
"Ccl21a-_zsgreen+",26.6187050359712,0.250941028858218,48.4210526315789,84.4444444444444,84.1059602649007,55.6962025316456
"Ccl21a+_zsgreen-",15.1079136690647,64.366373902133,16.8421052631579,0,0.662251655629139,2.53164556962025
"Ccl21a-_zsgreen-",46.0431654676259,1.12923462986198,20,7.77777777777778,9.93377483443709,20.253164556962
