gene,number_of_tissues
ENSMUSG00000001415,91
ENSMUSG00000001416,91
ENSMUSG00000001417,20
ENSMUSG00000001418,91
ENSMUSG00000001419,91
ENSMUSG00000001420,38
ENSMUSG00000001424,91
ENSMUSG00000001435,78
ENSMUSG00000001436,90
ENSMUSG00000001440,91
ENSMUSG00000001441,91
ENSMUSG00000001444,17
ENSMUSG00000001445,91
ENSMUSG00000001467,91
ENSMUSG00000001472,91
ENSMUSG00000001473,78
ENSMUSG00000001482,91
ENSMUSG00000001493,27
ENSMUSG00000001494,15
ENSMUSG00000001496,10
ENSMUSG00000001497,9
ENSMUSG00000001504,43
ENSMUSG00000001506,77
ENSMUSG00000001507,81
ENSMUSG00000001508,25
ENSMUSG00000001510,14
ENSMUSG00000001517,71
ENSMUSG00000001518,91
ENSMUSG00000001520,42
ENSMUSG00000001521,79
ENSMUSG00000001524,91
ENSMUSG00000001525,91
ENSMUSG00000001542,91
ENSMUSG00000001552,89
ENSMUSG00000001555,73
ENSMUSG00000001558,2
ENSMUSG00000001566,10
ENSMUSG00000001569,91
ENSMUSG00000001576,91
ENSMUSG00000001583,33
ENSMUSG00000001588,34
ENSMUSG00000001604,63
ENSMUSG00000001622,10
ENSMUSG00000001627,91
ENSMUSG00000001630,90
ENSMUSG00000001632,91
ENSMUSG00000001642,89
ENSMUSG00000001655,8
ENSMUSG00000001657,23
ENSMUSG00000001661,33
ENSMUSG00000001663,78
ENSMUSG00000001665,78
ENSMUSG00000001666,91
ENSMUSG00000001670,6
ENSMUSG00000001672,38
ENSMUSG00000001674,91
ENSMUSG00000001687,91
ENSMUSG00000001700,90
ENSMUSG00000001707,91
ENSMUSG00000001729,91
ENSMUSG00000001739,44
ENSMUSG00000001741,73
ENSMUSG00000001750,91
ENSMUSG00000001751,91
ENSMUSG00000001755,91
ENSMUSG00000001761,81
ENSMUSG00000001763,66
ENSMUSG00000001767,91
ENSMUSG00000001768,78
ENSMUSG00000001773,24
ENSMUSG00000001774,91
ENSMUSG00000001785,91
ENSMUSG00000001786,91
ENSMUSG00000001794,91
ENSMUSG00000001802,67
ENSMUSG00000001804,3
ENSMUSG00000001815,1
ENSMUSG00000001819,3
ENSMUSG00000001823,4
ENSMUSG00000001827,43
ENSMUSG00000001829,91
ENSMUSG00000001833,91
ENSMUSG00000001844,91
ENSMUSG00000001847,91
ENSMUSG00000001855,91
ENSMUSG00000001864,67
ENSMUSG00000001865,32
ENSMUSG00000001870,74
ENSMUSG00000001891,91
ENSMUSG00000001901,11
ENSMUSG00000001909,91
ENSMUSG00000001910,91
ENSMUSG00000001911,87
ENSMUSG00000001918,87
ENSMUSG00000001924,91
ENSMUSG00000001930,62
ENSMUSG00000001942,90
ENSMUSG00000001943,10
ENSMUSG00000001946,68
ENSMUSG00000001948,82
ENSMUSG00000001962,91
ENSMUSG00000001964,91
ENSMUSG00000001983,91
ENSMUSG00000001985,32
ENSMUSG00000001986,75
ENSMUSG00000001988,18
ENSMUSG00000001995,91
ENSMUSG00000001998,91
ENSMUSG00000001999,91
ENSMUSG00000002006,60
ENSMUSG00000002007,27
ENSMUSG00000002010,91
ENSMUSG00000002012,56
ENSMUSG00000002014,91
ENSMUSG00000002015,91
ENSMUSG00000002017,91
ENSMUSG00000002020,40
ENSMUSG00000002031,91
ENSMUSG00000002032,57
ENSMUSG00000002033,38
ENSMUSG00000002043,91
ENSMUSG00000002055,58
ENSMUSG00000002057,6
ENSMUSG00000002058,91
ENSMUSG00000002059,79
ENSMUSG00000002064,91
ENSMUSG00000002068,86
ENSMUSG00000002076,4
ENSMUSG00000002083,91
ENSMUSG00000002100,6
ENSMUSG00000002102,91
ENSMUSG00000002103,91
ENSMUSG00000002104,25
ENSMUSG00000002105,90
ENSMUSG00000002107,87
ENSMUSG00000002108,51
ENSMUSG00000002109,88
ENSMUSG00000002129,91
ENSMUSG00000002147,89
ENSMUSG00000002190,29
ENSMUSG00000002204,52
ENSMUSG00000002205,91
ENSMUSG00000002221,91
ENSMUSG00000002222,91
ENSMUSG00000002227,80
ENSMUSG00000002228,47
ENSMUSG00000002233,88
ENSMUSG00000002240,2
ENSMUSG00000002249,81
ENSMUSG00000002250,91
ENSMUSG00000002257,84
ENSMUSG00000002265,67
ENSMUSG00000002266,45
ENSMUSG00000002274,47
ENSMUSG00000002279,91
ENSMUSG00000002280,91
ENSMUSG00000002289,88
ENSMUSG00000002297,85
ENSMUSG00000002307,91
ENSMUSG00000002308,90
ENSMUSG00000002319,90
ENSMUSG00000002320,91
ENSMUSG00000002324,50
ENSMUSG00000002325,87
ENSMUSG00000002326,91
ENSMUSG00000002329,91
ENSMUSG00000002332,91
ENSMUSG00000002341,32
ENSMUSG00000002342,91
ENSMUSG00000002343,90
ENSMUSG00000002345,91
ENSMUSG00000002346,89
ENSMUSG00000002365,91
ENSMUSG00000002372,91
ENSMUSG00000002384,11
ENSMUSG00000002393,90
ENSMUSG00000002395,91
ENSMUSG00000002396,91
ENSMUSG00000002409,91
ENSMUSG00000002413,91
ENSMUSG00000002416,91
ENSMUSG00000002428,91
ENSMUSG00000002455,91
ENSMUSG00000002458,89
ENSMUSG00000002459,33
ENSMUSG00000002486,90
ENSMUSG00000002489,81
ENSMUSG00000002496,91
ENSMUSG00000002500,8
ENSMUSG00000002504,79
ENSMUSG00000002524,91
ENSMUSG00000002546,91
ENSMUSG00000002550,91
ENSMUSG00000002565,31
ENSMUSG00000002578,21
ENSMUSG00000002588,19
ENSMUSG00000002602,80
ENSMUSG00000002603,88
ENSMUSG00000002608,91
ENSMUSG00000002617,73
ENSMUSG00000002625,91
ENSMUSG00000002633,37
ENSMUSG00000002635,91
ENSMUSG00000002658,91
ENSMUSG00000002660,91
ENSMUSG00000002661,91
