gene,number_of_tissues
ENSMUSG00000025977,8
ENSMUSG00000025978,72
ENSMUSG00000025979,91
ENSMUSG00000025980,91
ENSMUSG00000025981,91
ENSMUSG00000025982,91
ENSMUSG00000025983,1
ENSMUSG00000025986,89
ENSMUSG00000025991,24
ENSMUSG00000025993,59
ENSMUSG00000025995,91
ENSMUSG00000025997,35
ENSMUSG00000026000,91
ENSMUSG00000026003,91
ENSMUSG00000026005,91
ENSMUSG00000026009,19
ENSMUSG00000026011,9
ENSMUSG00000026012,13
ENSMUSG00000026014,84
ENSMUSG00000026017,90
ENSMUSG00000026018,23
ENSMUSG00000026019,90
ENSMUSG00000026020,91
ENSMUSG00000026021,91
ENSMUSG00000026023,1
ENSMUSG00000026024,90
ENSMUSG00000026027,91
ENSMUSG00000026028,91
ENSMUSG00000026029,88
ENSMUSG00000026031,91
ENSMUSG00000026032,91
ENSMUSG00000026034,91
ENSMUSG00000026035,91
ENSMUSG00000026036,91
ENSMUSG00000026037,91
ENSMUSG00000026039,64
ENSMUSG00000026042,74
ENSMUSG00000026043,77
ENSMUSG00000026047,89
ENSMUSG00000026048,91
ENSMUSG00000026051,56
ENSMUSG00000026058,30
ENSMUSG00000026062,41
ENSMUSG00000026065,7
ENSMUSG00000026068,23
ENSMUSG00000026069,23
ENSMUSG00000026070,33
ENSMUSG00000026072,73
ENSMUSG00000026073,23
ENSMUSG00000026074,91
ENSMUSG00000026077,71
ENSMUSG00000026078,91
ENSMUSG00000026080,64
ENSMUSG00000026082,91
ENSMUSG00000026083,91
ENSMUSG00000026085,3
ENSMUSG00000026088,91
ENSMUSG00000026090,51
ENSMUSG00000026094,90
ENSMUSG00000026095,91
ENSMUSG00000026096,89
ENSMUSG00000026097,91
ENSMUSG00000026098,86
ENSMUSG00000026100,10
ENSMUSG00000026102,91
ENSMUSG00000026103,91
ENSMUSG00000026104,91
ENSMUSG00000026109,59
ENSMUSG00000026110,86
ENSMUSG00000026111,91
ENSMUSG00000026113,91
ENSMUSG00000026114,1
ENSMUSG00000026116,91
ENSMUSG00000026117,14
ENSMUSG00000026121,79
ENSMUSG00000026123,91
ENSMUSG00000026125,2
ENSMUSG00000026126,87
ENSMUSG00000026127,91
ENSMUSG00000026131,88
ENSMUSG00000026134,91
ENSMUSG00000026135,91
ENSMUSG00000026141,18
ENSMUSG00000026142,91
ENSMUSG00000026147,19
ENSMUSG00000026149,13
ENSMUSG00000026153,83
ENSMUSG00000026154,91
ENSMUSG00000026155,91
ENSMUSG00000026156,22
ENSMUSG00000026158,84
ENSMUSG00000026159,91
ENSMUSG00000026163,36
ENSMUSG00000026166,22
ENSMUSG00000026167,25
ENSMUSG00000026170,76
ENSMUSG00000026171,91
ENSMUSG00000026172,91
ENSMUSG00000026173,28
ENSMUSG00000026174,91
ENSMUSG00000026175,18
ENSMUSG00000026176,91
ENSMUSG00000026177,51
ENSMUSG00000026179,91
ENSMUSG00000026180,19
ENSMUSG00000026181,88
ENSMUSG00000026182,3
ENSMUSG00000026185,74
ENSMUSG00000026187,87
ENSMUSG00000026188,32
ENSMUSG00000026189,90
ENSMUSG00000026192,91
ENSMUSG00000026193,82
ENSMUSG00000026196,74
ENSMUSG00000026197,91
ENSMUSG00000026198,89
ENSMUSG00000026199,91
ENSMUSG00000026200,90
ENSMUSG00000026201,91
ENSMUSG00000026202,91
ENSMUSG00000026203,91
ENSMUSG00000026204,53
ENSMUSG00000026205,3
ENSMUSG00000026207,73
ENSMUSG00000026208,64
ENSMUSG00000026209,91
ENSMUSG00000026211,68
ENSMUSG00000026213,91
ENSMUSG00000026219,91
ENSMUSG00000026220,26
ENSMUSG00000026222,53
ENSMUSG00000026223,91
ENSMUSG00000026226,2
ENSMUSG00000026227,43
ENSMUSG00000026228,9
ENSMUSG00000026229,91
ENSMUSG00000026234,91
ENSMUSG00000026235,71
ENSMUSG00000026239,91
ENSMUSG00000026240,91
ENSMUSG00000026241,40
ENSMUSG00000026245,91
ENSMUSG00000026247,22
ENSMUSG00000026248,91
ENSMUSG00000026249,84
ENSMUSG00000026251,7
ENSMUSG00000026253,6
ENSMUSG00000026254,91
ENSMUSG00000026255,54
ENSMUSG00000026258,5
ENSMUSG00000026259,64
ENSMUSG00000026260,91
ENSMUSG00000026269,91
ENSMUSG00000026270,91
ENSMUSG00000026271,7
ENSMUSG00000026272,4
ENSMUSG00000026273,91
ENSMUSG00000026274,66
ENSMUSG00000026275,91
ENSMUSG00000026276,91
ENSMUSG00000026277,91
ENSMUSG00000026278,82
ENSMUSG00000026279,91
ENSMUSG00000026280,91
ENSMUSG00000026281,91
ENSMUSG00000026283,90
ENSMUSG00000026285,6
ENSMUSG00000026288,79
ENSMUSG00000026289,91
ENSMUSG00000026295,14
ENSMUSG00000026301,3
ENSMUSG00000026303,66
ENSMUSG00000026304,24
ENSMUSG00000026305,91
ENSMUSG00000026307,91
ENSMUSG00000026308,26
ENSMUSG00000026309,91
ENSMUSG00000026311,90
ENSMUSG00000026312,10
ENSMUSG00000026313,91
ENSMUSG00000026315,61
ENSMUSG00000026317,90
ENSMUSG00000026319,91
ENSMUSG00000026321,56
ENSMUSG00000026322,9
ENSMUSG00000026327,15
ENSMUSG00000026331,1
ENSMUSG00000026333,91
ENSMUSG00000026335,87
ENSMUSG00000026336,1
ENSMUSG00000026339,91
ENSMUSG00000026341,91
ENSMUSG00000026342,87
ENSMUSG00000026343,36
ENSMUSG00000026344,39
ENSMUSG00000026347,53
ENSMUSG00000026348,4
ENSMUSG00000026349,91
ENSMUSG00000026353,91
ENSMUSG00000026354,13
ENSMUSG00000026355,91
ENSMUSG00000026356,91
ENSMUSG00000026357,32
ENSMUSG00000026358,46
ENSMUSG00000026360,91
ENSMUSG00000026361,91
ENSMUSG00000026365,68
ENSMUSG00000026368,7
ENSMUSG00000026374,91
ENSMUSG00000026377,91
ENSMUSG00000026380,47
ENSMUSG00000026383,81
ENSMUSG00000026384,90
ENSMUSG00000026385,91
ENSMUSG00000026387,9
ENSMUSG00000026388,38
ENSMUSG00000026389,76
ENSMUSG00000026390,10
ENSMUSG00000026393,91
ENSMUSG00000026394,5
ENSMUSG00000026395,70
ENSMUSG00000026398,29
ENSMUSG00000026399,86
ENSMUSG00000026401,5
ENSMUSG00000026404,86
ENSMUSG00000026405,16
ENSMUSG00000026407,8
ENSMUSG00000026409,91
ENSMUSG00000026411,88
ENSMUSG00000026413,26
ENSMUSG00000026414,54
ENSMUSG00000026415,3
ENSMUSG00000026416,1
ENSMUSG00000026417,34
ENSMUSG00000026418,21
ENSMUSG00000026420,2
ENSMUSG00000026421,91
ENSMUSG00000026424,36
ENSMUSG00000026425,91
ENSMUSG00000026426,91
ENSMUSG00000026427,91
ENSMUSG00000026429,81
ENSMUSG00000026430,87
ENSMUSG00000026433,88
ENSMUSG00000026434,91
ENSMUSG00000026435,63
ENSMUSG00000026436,91
ENSMUSG00000026437,78
ENSMUSG00000026439,91
ENSMUSG00000026442,51
ENSMUSG00000026443,54
ENSMUSG00000026447,85
ENSMUSG00000026450,6
ENSMUSG00000026452,28
ENSMUSG00000026455,91
ENSMUSG00000026456,91
ENSMUSG00000026457,91
ENSMUSG00000026458,17
ENSMUSG00000026459,7
ENSMUSG00000026463,81
ENSMUSG00000026464,91
ENSMUSG00000026466,91
ENSMUSG00000026468,1
ENSMUSG00000026469,91
ENSMUSG00000026470,91
ENSMUSG00000026471,80
ENSMUSG00000026473,91
ENSMUSG00000026475,78
ENSMUSG00000026478,88
ENSMUSG00000026480,51
ENSMUSG00000026482,84
ENSMUSG00000026483,82
ENSMUSG00000026484,91
ENSMUSG00000026489,84
ENSMUSG00000026490,83
ENSMUSG00000026491,91
ENSMUSG00000026492,91
ENSMUSG00000026494,58
ENSMUSG00000026495,74
ENSMUSG00000026496,91
ENSMUSG00000026499,91
ENSMUSG00000026504,91
ENSMUSG00000026509,89
ENSMUSG00000026510,91
ENSMUSG00000026514,25
ENSMUSG00000026516,91
ENSMUSG00000026519,88
ENSMUSG00000026520,91
ENSMUSG00000026523,2
ENSMUSG00000026525,91
ENSMUSG00000026526,91
ENSMUSG00000026527,36
ENSMUSG00000026535,3
ENSMUSG00000026536,33
ENSMUSG00000026542,12
ENSMUSG00000026544,27
ENSMUSG00000026546,38
ENSMUSG00000026547,91
ENSMUSG00000026548,47
ENSMUSG00000026553,91
ENSMUSG00000026554,91
ENSMUSG00000026556,76
ENSMUSG00000026558,91
ENSMUSG00000026560,1
ENSMUSG00000026563,91
ENSMUSG00000026564,22
ENSMUSG00000026565,91
ENSMUSG00000026566,84
ENSMUSG00000026567,1
ENSMUSG00000026571,91
ENSMUSG00000026572,1
ENSMUSG00000026573,14
ENSMUSG00000026574,38
ENSMUSG00000026575,91
ENSMUSG00000026576,89
ENSMUSG00000026577,91
ENSMUSG00000026579,41
ENSMUSG00000026580,18
ENSMUSG00000026581,41
ENSMUSG00000026582,11
ENSMUSG00000026584,91
ENSMUSG00000026585,88
ENSMUSG00000026586,70
ENSMUSG00000026587,44
ENSMUSG00000026589,49
ENSMUSG00000026594,88
ENSMUSG00000026596,91
ENSMUSG00000026600,91
ENSMUSG00000026602,2
ENSMUSG00000026603,90
ENSMUSG00000026604,76
ENSMUSG00000026605,64
ENSMUSG00000026608,91
ENSMUSG00000026609,4
ENSMUSG00000026610,45
ENSMUSG00000026611,9
ENSMUSG00000026614,39
ENSMUSG00000026615,91
ENSMUSG00000026616,18
ENSMUSG00000026617,90
ENSMUSG00000026618,91
ENSMUSG00000026620,73
ENSMUSG00000026622,76
ENSMUSG00000026623,91
ENSMUSG00000026626,91
ENSMUSG00000026627,91
ENSMUSG00000026628,76
ENSMUSG00000026632,91
ENSMUSG00000026634,91
ENSMUSG00000026637,84
ENSMUSG00000026638,53
ENSMUSG00000026639,48
ENSMUSG00000026640,82
ENSMUSG00000026641,91
ENSMUSG00000026643,91
ENSMUSG00000026644,12
ENSMUSG00000026645,2
ENSMUSG00000026646,82
ENSMUSG00000026648,91
ENSMUSG00000026649,77
ENSMUSG00000026650,40
ENSMUSG00000026655,91
ENSMUSG00000026656,67
ENSMUSG00000026657,87
ENSMUSG00000026659,91
ENSMUSG00000026662,91
ENSMUSG00000026663,91
ENSMUSG00000026664,91
ENSMUSG00000026667,91
ENSMUSG00000026668,19
ENSMUSG00000026669,47
ENSMUSG00000026670,91
ENSMUSG00000026672,87
ENSMUSG00000026674,67
ENSMUSG00000026675,91
ENSMUSG00000026676,69
ENSMUSG00000026678,67
ENSMUSG00000026679,33
ENSMUSG00000026683,61
ENSMUSG00000026686,6
ENSMUSG00000026687,91
ENSMUSG00000026688,91
ENSMUSG00000026691,11
ENSMUSG00000026692,14
ENSMUSG00000026694,89
ENSMUSG00000026696,91
ENSMUSG00000026697,29
ENSMUSG00000026698,91
ENSMUSG00000026700,2
ENSMUSG00000026705,91
ENSMUSG00000026707,86
ENSMUSG00000026708,83
ENSMUSG00000026709,91
ENSMUSG00000026712,65
ENSMUSG00000026715,3
ENSMUSG00000026718,91
ENSMUSG00000026721,91
ENSMUSG00000026723,88
ENSMUSG00000026725,11
ENSMUSG00000026726,15
ENSMUSG00000026727,90
ENSMUSG00000026728,88
ENSMUSG00000026730,72
ENSMUSG00000026734,1
ENSMUSG00000026735,10
ENSMUSG00000026737,87
ENSMUSG00000026739,91
ENSMUSG00000026740,91
ENSMUSG00000026743,91
ENSMUSG00000026748,77
ENSMUSG00000026749,86
ENSMUSG00000026750,91
ENSMUSG00000026751,8
ENSMUSG00000026753,91
ENSMUSG00000026754,91
ENSMUSG00000026755,91
ENSMUSG00000026761,91
ENSMUSG00000026764,61
ENSMUSG00000026765,30
ENSMUSG00000026766,91
ENSMUSG00000026767,91
ENSMUSG00000026768,65
ENSMUSG00000026770,25
ENSMUSG00000026771,91
ENSMUSG00000026773,90
ENSMUSG00000026774,1
ENSMUSG00000026775,91
ENSMUSG00000026778,69
ENSMUSG00000026779,63
ENSMUSG00000026781,91
ENSMUSG00000026782,88
ENSMUSG00000026784,91
ENSMUSG00000026785,2
ENSMUSG00000026786,87
ENSMUSG00000026787,25
ENSMUSG00000026788,91
ENSMUSG00000026790,91
ENSMUSG00000026791,90
ENSMUSG00000026792,91
ENSMUSG00000026796,84
ENSMUSG00000026797,88
ENSMUSG00000026798,91
ENSMUSG00000026799,91
ENSMUSG00000026803,91
ENSMUSG00000026805,9
ENSMUSG00000026806,90
ENSMUSG00000026807,21
ENSMUSG00000026809,28
ENSMUSG00000026810,91
ENSMUSG00000026811,83
ENSMUSG00000026812,91
ENSMUSG00000026814,78
ENSMUSG00000026815,19
ENSMUSG00000026816,91
ENSMUSG00000026817,79
ENSMUSG00000026818,16
ENSMUSG00000026819,91
ENSMUSG00000026820,91
ENSMUSG00000026821,91
ENSMUSG00000026822,74
ENSMUSG00000026824,31
ENSMUSG00000026825,78
ENSMUSG00000026826,78
ENSMUSG00000026827,91
ENSMUSG00000026829,45
ENSMUSG00000026830,15
ENSMUSG00000026831,47
ENSMUSG00000026832,55
ENSMUSG00000026833,79
ENSMUSG00000026834,31
ENSMUSG00000026835,9
ENSMUSG00000026836,84
ENSMUSG00000026837,70
ENSMUSG00000026839,76
ENSMUSG00000026840,56
ENSMUSG00000026841,15
ENSMUSG00000026842,91
ENSMUSG00000026843,90
ENSMUSG00000026848,91
ENSMUSG00000026849,91
ENSMUSG00000026851,91
ENSMUSG00000026853,89
ENSMUSG00000026854,91
ENSMUSG00000026856,91
ENSMUSG00000026858,90
ENSMUSG00000026860,91
ENSMUSG00000026864,91
ENSMUSG00000026866,25
ENSMUSG00000026867,91
ENSMUSG00000026869,91
ENSMUSG00000026872,85
ENSMUSG00000026873,36
ENSMUSG00000026874,8
ENSMUSG00000026875,73
ENSMUSG00000026878,91
ENSMUSG00000026879,90
ENSMUSG00000026880,89
ENSMUSG00000026882,1
ENSMUSG00000026883,85
ENSMUSG00000026885,69
ENSMUSG00000026887,91
ENSMUSG00000026888,74
ENSMUSG00000026889,91
ENSMUSG00000026890,26
ENSMUSG00000026893,85
ENSMUSG00000026894,14
ENSMUSG00000026895,91
ENSMUSG00000026896,76
ENSMUSG00000026904,25
ENSMUSG00000026914,91
ENSMUSG00000026915,91
ENSMUSG00000026917,91
ENSMUSG00000026918,91
ENSMUSG00000026919,0
ENSMUSG00000026921,76
ENSMUSG00000026922,74
ENSMUSG00000026923,91
ENSMUSG00000026924,91
ENSMUSG00000026925,91
ENSMUSG00000026926,91
ENSMUSG00000026927,91
ENSMUSG00000026928,41
ENSMUSG00000026930,88
ENSMUSG00000026931,1
ENSMUSG00000026932,84
ENSMUSG00000026933,88
ENSMUSG00000026934,5
ENSMUSG00000026936,0
ENSMUSG00000026937,2
ENSMUSG00000026938,37
ENSMUSG00000026939,87
ENSMUSG00000026940,1
ENSMUSG00000026941,4
ENSMUSG00000026942,91
ENSMUSG00000026943,2
ENSMUSG00000026944,88
ENSMUSG00000026946,84
ENSMUSG00000026950,21
ENSMUSG00000026956,90
ENSMUSG00000026958,91
ENSMUSG00000026959,33
ENSMUSG00000026960,91
ENSMUSG00000026961,25
ENSMUSG00000026963,1
ENSMUSG00000026965,91
ENSMUSG00000026966,91
ENSMUSG00000026969,1
ENSMUSG00000026970,91
ENSMUSG00000026971,41
ENSMUSG00000026972,91
ENSMUSG00000026974,91
ENSMUSG00000026976,27
ENSMUSG00000026977,91
ENSMUSG00000026979,57
ENSMUSG00000026980,68
ENSMUSG00000026981,48
ENSMUSG00000026983,7
ENSMUSG00000026984,8
ENSMUSG00000026985,7
ENSMUSG00000026986,62
ENSMUSG00000026987,91
ENSMUSG00000026988,91
ENSMUSG00000026989,43
ENSMUSG00000026991,87
ENSMUSG00000026994,51
ENSMUSG00000026999,55
ENSMUSG00000027001,90
ENSMUSG00000027002,86
ENSMUSG00000027004,58
ENSMUSG00000027006,91
ENSMUSG00000027007,91
ENSMUSG00000027009,80
ENSMUSG00000027010,91
ENSMUSG00000027011,91
ENSMUSG00000027012,91
ENSMUSG00000027014,84
ENSMUSG00000027015,66
ENSMUSG00000027016,64
ENSMUSG00000027018,91
ENSMUSG00000027022,16
ENSMUSG00000027030,84
ENSMUSG00000027048,5
ENSMUSG00000027067,91
ENSMUSG00000027068,40
ENSMUSG00000027070,28
ENSMUSG00000027071,11
ENSMUSG00000027072,10
ENSMUSG00000027073,20
ENSMUSG00000027074,69
ENSMUSG00000027075,58
ENSMUSG00000027076,91
ENSMUSG00000027077,15
ENSMUSG00000027078,90
ENSMUSG00000027079,91
ENSMUSG00000027080,91
ENSMUSG00000027082,80
ENSMUSG00000027086,90
ENSMUSG00000027087,91
ENSMUSG00000027088,91
ENSMUSG00000027091,91
ENSMUSG00000027099,91
ENSMUSG00000027102,36
ENSMUSG00000027104,91
ENSMUSG00000027107,10
ENSMUSG00000027108,91
ENSMUSG00000027109,91
ENSMUSG00000027111,90
ENSMUSG00000027115,70
ENSMUSG00000027120,1
ENSMUSG00000027130,91
ENSMUSG00000027133,91
ENSMUSG00000027134,90
ENSMUSG00000027157,1
ENSMUSG00000027160,91
ENSMUSG00000027162,91
ENSMUSG00000027163,80
ENSMUSG00000027164,91
ENSMUSG00000027165,83
ENSMUSG00000027166,91
ENSMUSG00000027167,91
ENSMUSG00000027168,24
ENSMUSG00000027170,91
ENSMUSG00000027171,67
ENSMUSG00000027173,67
ENSMUSG00000027175,81
ENSMUSG00000027176,91
ENSMUSG00000027177,91
ENSMUSG00000027180,91
ENSMUSG00000027184,91
ENSMUSG00000027185,91
ENSMUSG00000027186,19
ENSMUSG00000027187,91
ENSMUSG00000027188,63
ENSMUSG00000027189,91
ENSMUSG00000027193,91
ENSMUSG00000027194,90
ENSMUSG00000027195,91
ENSMUSG00000027198,91
ENSMUSG00000027199,80
ENSMUSG00000027200,77
ENSMUSG00000027201,91
ENSMUSG00000027202,1
ENSMUSG00000027203,91
ENSMUSG00000027204,71
ENSMUSG00000027206,91
ENSMUSG00000027207,91
ENSMUSG00000027208,42
ENSMUSG00000027210,77
ENSMUSG00000027215,88
ENSMUSG00000027217,71
ENSMUSG00000027219,3
ENSMUSG00000027220,53
ENSMUSG00000027221,72
ENSMUSG00000027222,91
ENSMUSG00000027223,60
ENSMUSG00000027224,7
ENSMUSG00000027225,13
ENSMUSG00000027227,90
ENSMUSG00000027229,1
ENSMUSG00000027230,76
ENSMUSG00000027238,29
ENSMUSG00000027239,66
ENSMUSG00000027242,84
ENSMUSG00000027243,89
ENSMUSG00000027244,91
ENSMUSG00000027246,33
ENSMUSG00000027247,91
ENSMUSG00000027248,91
ENSMUSG00000027249,22
ENSMUSG00000027253,76
ENSMUSG00000027255,91
ENSMUSG00000027257,76
ENSMUSG00000027259,89
ENSMUSG00000027261,4
ENSMUSG00000027263,91
ENSMUSG00000027272,91
ENSMUSG00000027273,41
ENSMUSG00000027274,91
ENSMUSG00000027276,76
ENSMUSG00000027282,91
ENSMUSG00000027284,91
ENSMUSG00000027285,91
ENSMUSG00000027286,91
ENSMUSG00000027287,91
ENSMUSG00000027288,91
ENSMUSG00000027291,91
ENSMUSG00000027293,91
ENSMUSG00000027296,34
ENSMUSG00000027297,3
ENSMUSG00000027298,77
ENSMUSG00000027301,7
ENSMUSG00000027303,91
ENSMUSG00000027304,91
ENSMUSG00000027305,91
ENSMUSG00000027306,76
ENSMUSG00000027309,91
ENSMUSG00000027312,91
ENSMUSG00000027313,78
ENSMUSG00000027314,66
ENSMUSG00000027315,47
ENSMUSG00000027316,64
ENSMUSG00000027317,16
ENSMUSG00000027318,36
ENSMUSG00000027322,34
ENSMUSG00000027323,64
ENSMUSG00000027324,88
ENSMUSG00000027326,63
ENSMUSG00000027327,91
ENSMUSG00000027329,5
ENSMUSG00000027330,90
ENSMUSG00000027332,91
ENSMUSG00000027333,90
ENSMUSG00000027335,31
ENSMUSG00000027338,91
ENSMUSG00000027339,86
ENSMUSG00000027340,91
ENSMUSG00000027342,91
ENSMUSG00000027344,13
ENSMUSG00000027346,91
ENSMUSG00000027347,64
ENSMUSG00000027349,91
ENSMUSG00000027350,44
ENSMUSG00000027351,91
ENSMUSG00000027355,2
ENSMUSG00000027356,31
ENSMUSG00000027357,91
ENSMUSG00000027358,54
ENSMUSG00000027359,54
ENSMUSG00000027360,45
ENSMUSG00000027361,91
ENSMUSG00000027363,91
ENSMUSG00000027364,1
ENSMUSG00000027365,91
ENSMUSG00000027367,91
ENSMUSG00000027368,61
ENSMUSG00000027371,90
ENSMUSG00000027374,91
ENSMUSG00000027375,55
ENSMUSG00000027376,21
ENSMUSG00000027377,53
ENSMUSG00000027378,78
ENSMUSG00000027379,60
ENSMUSG00000027380,2
ENSMUSG00000027381,91
ENSMUSG00000027386,58
ENSMUSG00000027387,80
ENSMUSG00000027394,86
ENSMUSG00000027395,89
ENSMUSG00000027397,91
ENSMUSG00000027398,38
ENSMUSG00000027399,23
ENSMUSG00000027400,12
ENSMUSG00000027401,9
ENSMUSG00000027403,2
ENSMUSG00000027404,91
ENSMUSG00000027405,91
ENSMUSG00000027406,91
ENSMUSG00000027408,65
ENSMUSG00000027409,1
ENSMUSG00000027411,91
ENSMUSG00000027412,53
ENSMUSG00000027416,7
ENSMUSG00000027419,42
ENSMUSG00000027420,2
ENSMUSG00000027422,91
ENSMUSG00000027423,91
ENSMUSG00000027425,90
ENSMUSG00000027427,91
ENSMUSG00000027428,91
ENSMUSG00000027429,91
ENSMUSG00000027430,91
ENSMUSG00000027433,91
ENSMUSG00000027434,19
ENSMUSG00000027435,72
ENSMUSG00000027438,77
ENSMUSG00000027439,91
ENSMUSG00000027442,7
ENSMUSG00000027443,5
ENSMUSG00000027444,2
ENSMUSG00000027445,3
ENSMUSG00000027446,5
ENSMUSG00000027447,91
ENSMUSG00000027452,84
ENSMUSG00000027454,73
ENSMUSG00000027455,91
ENSMUSG00000027456,27
ENSMUSG00000027457,56
ENSMUSG00000027459,90
ENSMUSG00000027460,25
ENSMUSG00000027465,91
ENSMUSG00000027466,91
ENSMUSG00000027468,3
ENSMUSG00000027469,85
ENSMUSG00000027470,15
ENSMUSG00000027472,91
ENSMUSG00000027475,91
ENSMUSG00000027478,76
ENSMUSG00000027479,91
ENSMUSG00000027480,1
ENSMUSG00000027481,1
ENSMUSG00000027482,2
ENSMUSG00000027483,4
ENSMUSG00000027484,1
ENSMUSG00000027485,7
ENSMUSG00000027487,89
ENSMUSG00000027488,79
ENSMUSG00000027489,35
ENSMUSG00000027490,79
ENSMUSG00000027496,85
ENSMUSG00000027498,91
ENSMUSG00000027499,74
ENSMUSG00000027500,72
ENSMUSG00000027506,89
ENSMUSG00000027508,89
ENSMUSG00000027509,91
ENSMUSG00000027510,91
ENSMUSG00000027513,39
ENSMUSG00000027514,64
ENSMUSG00000027517,7
ENSMUSG00000027518,1
ENSMUSG00000027519,91
ENSMUSG00000027520,43
ENSMUSG00000027522,91
ENSMUSG00000027523,91
ENSMUSG00000027524,47
ENSMUSG00000027525,33
ENSMUSG00000027528,2
ENSMUSG00000027530,5
ENSMUSG00000027531,91
ENSMUSG00000027533,82
ENSMUSG00000027534,90
ENSMUSG00000027536,48
ENSMUSG00000027540,91
ENSMUSG00000027544,79
ENSMUSG00000027546,78
ENSMUSG00000027547,3
ENSMUSG00000027550,91
ENSMUSG00000027552,90
ENSMUSG00000027555,76
ENSMUSG00000027556,18
ENSMUSG00000027559,51
ENSMUSG00000027560,45
ENSMUSG00000027562,84
ENSMUSG00000027564,2
ENSMUSG00000027566,91
ENSMUSG00000027568,15
ENSMUSG00000027570,49
ENSMUSG00000027574,60
ENSMUSG00000027575,91
ENSMUSG00000027577,39
ENSMUSG00000027579,1
ENSMUSG00000027581,45
ENSMUSG00000027582,91
ENSMUSG00000027583,75
ENSMUSG00000027584,27
ENSMUSG00000027589,91
ENSMUSG00000027593,91
ENSMUSG00000027596,7
ENSMUSG00000027597,69
ENSMUSG00000027598,91
ENSMUSG00000027599,91
ENSMUSG00000027601,91
ENSMUSG00000027602,91
ENSMUSG00000027603,55
ENSMUSG00000027605,91
ENSMUSG00000027606,2
ENSMUSG00000027610,91
ENSMUSG00000027611,63
ENSMUSG00000027612,27
ENSMUSG00000027613,91
ENSMUSG00000027615,91
ENSMUSG00000027620,91
ENSMUSG00000027624,82
ENSMUSG00000027630,91
ENSMUSG00000027634,91
ENSMUSG00000027635,84
ENSMUSG00000027636,20
ENSMUSG00000027637,91
ENSMUSG00000027639,91
ENSMUSG00000027641,77
ENSMUSG00000027642,91
ENSMUSG00000027643,5
ENSMUSG00000027646,85
ENSMUSG00000027649,91
ENSMUSG00000027650,90
ENSMUSG00000027651,91
ENSMUSG00000027652,91
ENSMUSG00000027654,76
ENSMUSG00000027655,91
ENSMUSG00000027656,25
ENSMUSG00000027660,91
ENSMUSG00000027661,41
ENSMUSG00000027663,87
ENSMUSG00000027665,91
ENSMUSG00000027667,91
ENSMUSG00000027668,91
ENSMUSG00000027669,85
ENSMUSG00000027671,91
ENSMUSG00000027673,91
ENSMUSG00000027674,40
ENSMUSG00000027676,52
ENSMUSG00000027677,91
ENSMUSG00000027678,91
ENSMUSG00000027679,91
ENSMUSG00000027680,91
ENSMUSG00000027684,63
ENSMUSG00000027690,21
ENSMUSG00000027692,85
ENSMUSG00000027695,82
ENSMUSG00000027698,91
ENSMUSG00000027699,77
ENSMUSG00000027702,12
ENSMUSG00000027703,1
ENSMUSG00000027706,91
ENSMUSG00000027708,89
ENSMUSG00000027709,91
ENSMUSG00000027710,91
ENSMUSG00000027712,90
ENSMUSG00000027713,69
ENSMUSG00000027714,91
ENSMUSG00000027715,79
ENSMUSG00000027716,50
ENSMUSG00000027718,1
ENSMUSG00000027719,5
ENSMUSG00000027720,3
ENSMUSG00000027722,91
ENSMUSG00000027737,64
ENSMUSG00000027739,91
ENSMUSG00000027742,91
ENSMUSG00000027744,9
ENSMUSG00000027746,91
ENSMUSG00000027748,40
ENSMUSG00000027750,72
ENSMUSG00000027752,90
ENSMUSG00000027761,20
ENSMUSG00000027762,23
ENSMUSG00000027763,91
ENSMUSG00000027765,79
ENSMUSG00000027770,91
ENSMUSG00000027774,91
ENSMUSG00000027775,91
ENSMUSG00000027776,9
ENSMUSG00000027777,32
ENSMUSG00000027778,89
ENSMUSG00000027782,91
ENSMUSG00000027783,15
ENSMUSG00000027784,86
ENSMUSG00000027787,91
ENSMUSG00000027788,2
ENSMUSG00000027790,10
ENSMUSG00000027792,67
ENSMUSG00000027793,4
ENSMUSG00000027794,4
ENSMUSG00000027796,57
ENSMUSG00000027797,73
ENSMUSG00000027799,77
ENSMUSG00000027800,76
ENSMUSG00000027801,22
ENSMUSG00000027803,76
ENSMUSG00000027804,91
ENSMUSG00000027805,82
ENSMUSG00000027806,2
ENSMUSG00000027808,91
ENSMUSG00000027809,91
ENSMUSG00000027810,91
ENSMUSG00000027811,83
ENSMUSG00000027820,67
ENSMUSG00000027822,91
ENSMUSG00000027823,91
ENSMUSG00000027827,48
ENSMUSG00000027828,91
ENSMUSG00000027829,91
ENSMUSG00000027831,19
ENSMUSG00000027832,33
ENSMUSG00000027833,22
ENSMUSG00000027834,74
ENSMUSG00000027835,91
ENSMUSG00000027840,32
ENSMUSG00000027843,46
ENSMUSG00000027845,91
ENSMUSG00000027848,75
ENSMUSG00000027849,29
ENSMUSG00000027852,91
ENSMUSG00000027854,91
ENSMUSG00000027855,3
ENSMUSG00000027857,1
ENSMUSG00000027858,69
ENSMUSG00000027859,54
ENSMUSG00000027860,80
ENSMUSG00000027861,46
ENSMUSG00000027863,22
ENSMUSG00000027864,79
ENSMUSG00000027865,91
ENSMUSG00000027867,10
ENSMUSG00000027868,28
ENSMUSG00000027869,14
ENSMUSG00000027870,19
ENSMUSG00000027871,11
ENSMUSG00000027875,75
