"","baseMean","baseVar","allZero","dispGeneEst","dispFit","dispersion","dispIter","dispOutlier","dispMAP"
"0610007C21Rik",157.301596583718,6869.76787073266,FALSE,0.225237473507893,1.65103411465016,0.22631114920024,12,FALSE,0.22631114920024
"0610007L01Rik",213.456054698878,14557.6460463162,FALSE,0.188223444821071,1.44697321020815,0.189147417629918,12,FALSE,0.189147417629918
"0610007N19Rik,p1",107.498712564996,10461.0781691536,FALSE,1.28908880803024,2.01039869870077,1.28999622252175,11,FALSE,1.28999622252175
"0610007N19Rik,p2",44.1772852427927,2401.95003481712,FALSE,1.57389784914076,3.63731639684514,1.57670533875397,14,FALSE,1.57670533875397
"0610007N19Rik,p3",52.4539763238434,11917.6603483846,FALSE,2.12036402752893,3.20150710961389,2.12210545891294,13,FALSE,2.12210545891294
"0610007N19Rik,p4",4.68212612262386,24.4385684136485,FALSE,1.08440697778892,26.9353308679981,1.09844735922316,13,FALSE,1.09844735922316
"0610007P08Rik",57.158305856687,449.594317217235,FALSE,0.127550238641533,3.01005632642225,0.128924427934214,12,FALSE,0.128924427934214
"0610007P14Rik",326.12038523628,48129.5080871277,FALSE,0.319570553019683,1.2494959055706,0.320509131644957,14,FALSE,0.320509131644957
"0610007P22Rik",111.949311751277,1559.14811908912,FALSE,0.107467724738592,1.96527434772696,0.108331909386797,16,FALSE,0.108331909386797
"0610008F07Rik",15.8615115440287,1762.22574491373,FALSE,20.3061259817052,8.56794183585498,20.2031209503045,8,FALSE,20.2031209503045
"0610009B22Rik",118.096686438924,2475.23312342772,FALSE,0.183146787663119,1.90853978400859,0.184206242530461,13,FALSE,0.184206242530461
"0610009D07Rik",414.161006351067,35292.2764826734,FALSE,0.168702122794859,1.16996185169557,0.169495419921528,12,FALSE,0.169495419921528
"0610009O20Rik",127.925076552361,3832.19696515548,FALSE,0.161311739501121,1.82916068524656,0.162279554034974,12,FALSE,0.162279554034974
"0610010F05Rik",51.9208268005868,1760.04508385964,FALSE,0.419267756862412,3.22539326124566,0.42131439704249,12,FALSE,0.42131439704249
"0610010K14Rik",199.511211937221,12527.8290086515,FALSE,0.215986367743826,1.48692672692613,0.216991166647193,12,FALSE,0.216991166647193
"0610010K14Rik,p1",1057.95504629759,460774.841763266,FALSE,0.299530308717439,0.990683559937373,0.300295608383661,14,FALSE,0.300295608383661
"0610010O12Rik",383.152944437964,408124.960948638,FALSE,1.94763385501737,1.1938042765871,1.94732857243739,9,FALSE,1.94732857243739
