"","sample","tissue","other","sampleGood","sizeFactor"
"sample199","counts.liver%2c%20neonate%20N06.CNhs11101.684-20A8","liver","neonate N06.CNhs11101.684-20A8","sample199",0.17713935000662
"sample200","counts.liver%2c%20neonate%20N07.CNhs11103.716-20H2","liver","neonate N07.CNhs11103.716-20H2","sample200",0.644798287666987
"sample201","counts.liver%2c%20neonate%20N10.CNhs11115.751-24B9","liver","neonate N10.CNhs11115.751-24B9","sample201",0.759777151829868
"sample202","counts.liver%2c%20neonate%20N20.CNhs11220.823-25A3","liver","neonate N20.CNhs11220.823-25A3","sample202",0.93748474252559
"sample203","counts.liver%2c%20neonate%20N25.CNhs11198.1368-26H1","liver","neonate N25.CNhs11198.1368-26H1","sample203",1.30243997110262
"sample204","counts.liver%2c%20neonate%20N30.CNhs11106.1382-42D1","liver","neonate N30.CNhs11106.1382-42D1","sample204",0.510431973094359
"sample205","counts.lung%2c%20adult.CNhs10474.28-22B1","lung","adult.CNhs10474.28-22B1","sample205",1.38945893670875
"sample206","counts.lung%2c%20embryo%20E12.CNhs10522.354-16G2","lung","embryo E12.CNhs10522.354-16G2","sample206",1.20937455476293
"sample207","counts.lung%2c%20embryo%20E14.CNhs10604.404-26F8","lung","embryo E14.CNhs10604.404-26F8","sample207",1.42679373373698
"sample208","counts.lung%2c%20embryo%20E15.CNhs11020.432-17C5","lung","embryo E15.CNhs11020.432-17C5","sample208",1.35329872305719
"sample209","counts.lung%2c%20embryo%20E16.CNhs10998.458-17B6","lung","embryo E16.CNhs10998.458-17B6","sample209",0.997597784803695
"sample210","counts.lung%2c%20embryo%20E17.CNhs10605.480-44A6","lung","embryo E17.CNhs10605.480-44A6","sample210",1.47210999709325
"sample211","counts.lung%2c%20embryo%20E18.CNhs10583.1287-20I6","lung","embryo E18.CNhs10583.1287-20I6","sample211",1.04810429556453
"sample212","counts.lung%2c%20neonate%20N00.CNhs11224.640-42C6","lung","neonate N00.CNhs11224.640-42C6","sample212",1.34404046614175
"sample213","counts.lung%2c%20neonate%20N06.CNhs11212.683-20E5","lung","neonate N06.CNhs11212.683-20E5","sample213",1.62165712971278
"sample214","counts.lung%2c%20neonate%20N07.CNhs11111.715-19A3","lung","neonate N07.CNhs11111.715-19A3","sample214",1.14965455276454
"sample215","counts.lung%2c%20neonate%20N10.CNhs11219.750-23E6","lung","neonate N10.CNhs11219.750-23E6","sample215",1.64147800516719
"sample216","counts.lung%2c%20neonate%20N20.CNhs11109.822-18A4","lung","neonate N20.CNhs11109.822-18A4","sample216",1.54323971215253
"sample217","counts.lung%2c%20neonate%20N25.CNhs11119.1359-25C7","lung","neonate N25.CNhs11119.1359-25C7","sample217",1.48739326812321
"sample218","counts.lung%2c%20neonate%20N30.CNhs11133.1394-42H2","lung","neonate N30.CNhs11133.1394-42H2","sample218",1.79211526679256
"sample219","counts.macrophage%2c%20bone%20marrow%20derived%2c%20pool1.CNhs11457.3560-170A1","macrophage","pool1.CNhs11457.3560-170A1","sample219",0.158218173230784
"sample220","counts.macrophage%2c%20bone%20marrow%20derived%2c%20pool2.CNhs11532.3632-171A1","macrophage","pool2.CNhs11532.3632-171A1","sample220",0.424303313352247
"sample221","counts.mammary%20gland%2c%20adult%20lactating%20day02.CNhs10480.595-22B6","mammary gland","adult lactating day02.CNhs10480.595-22B6","sample221",0.476501771255021
"sample222","counts.mammary%20gland%2c%20adult%20pregnant%20day19.CNhs10476.588-5H2","mammary gland","adult pregnant day19.CNhs10476.588-5H2","sample222",0.863220937838587
"sample223","counts.medulla%20oblongata%2c%20adult.CNhs10477.17-12C2","medulla oblongata","adult.CNhs10477.17-12C2","sample223",1.55810827188942
"sample224","counts.medulla%20oblongata%2c%20neonate%20N30.CNhs11200.1396-42A3","medulla oblongata","neonate N30.CNhs11200.1396-42A3","sample224",2.15059455478641
"sample225","counts.muscle%20%28biceps%20femoris%29%2c%20neonate%20N30.CNhs11129.1389-42C2","muscle (biceps femoris)","neonate N30.CNhs11129.1389-42C2","sample225",0.947142871288295
"sample226","counts.neurospheres%20-%20enteric%20neuron%20derived%2c%20biol_rep1.CNhs13087.11810-124E1","neurospheres - enteric neuron derived","biol_rep1.CNhs13087.11810-124E1","sample226",0.721670868246056
"sample227","counts.neurospheres%20-%20enteric%20neuron%20derived%2c%20biol_rep2.CNhs13088.11811-124E2","neurospheres - enteric neuron derived","biol_rep2.CNhs13088.11811-124E2","sample227",0.582656507455303
"sample228","counts.neurospheres%20-%20enteric%20neuron%20derived%2c%20biol_rep3.CNhs13089.11812-124E3","neurospheres - enteric neuron derived","biol_rep3.CNhs13089.11812-124E3","sample228",1.08868601863077
"sample229","counts.neurospheres%20-%20parasympathetic%20neuron%20derived%2c%20biol_rep1.CNhs13084.11807-124D7","neurospheres - parasympathetic neuron derived","biol_rep1.CNhs13084.11807-124D7","sample229",0.973778115011535
"sample230","counts.neurospheres%20-%20parasympathetic%20neuron%20derived%2c%20biol_rep2.CNhs13085.11808-124D8","neurospheres - parasympathetic neuron derived","biol_rep2.CNhs13085.11808-124D8","sample230",1.05668641829138
"sample231","counts.neurospheres%20-%20parasympathetic%20neuron%20derived%2c%20biol_rep3.CNhs13086.11809-124D9","neurospheres - parasympathetic neuron derived","biol_rep3.CNhs13086.11809-124D9","sample231",0.841651243654765
"sample232","counts.neurospheres%20-%20sympathetic%20neuron%20derived%2c%20biol_rep1.CNhs13081.11804-124D4","neurospheres - sympathetic neuron derived","biol_rep1.CNhs13081.11804-124D4","sample232",0.580670596268848
"sample233","counts.neurospheres%20-%20sympathetic%20neuron%20derived%2c%20biol_rep2.CNhs13082.11805-124D5","neurospheres - sympathetic neuron derived","biol_rep2.CNhs13082.11805-124D5","sample233",0.805687232725102
"sample234","counts.neurospheres%20-%20sympathetic%20neuron%20derived%2c%20biol_rep3.CNhs13083.11806-124D6","neurospheres - sympathetic neuron derived","biol_rep3.CNhs13083.11806-124D6","sample234",0.599519485882431
"sample235","counts.olfactory%20brain%2c%20adult.CNhs10489.18-22I9","olfactory brain","adult.CNhs10489.18-22I9","sample235",0.79437379060706
"sample236","counts.ovary%2c%20adult.CNhs10507.91-2I7","ovary","adult.CNhs10507.91-2I7","sample236",1.75485843045658
"sample237","counts.ovary%2c%20embryo%20E18.CNhs11040.505-44H7","ovary","embryo E18.CNhs11040.505-44H7","sample237",1.30243806402691
"sample238","counts.ovary%2c%20neonate%20N00.CNhs11217.1299-22I4","ovary","neonate N00.CNhs11217.1299-22I4","sample238",1.52317469068629
"sample239","counts.oviduct%2c%20adult%20pregnant%20day01.CNhs10500.988-6G6","oviduct","adult pregnant day01.CNhs10500.988-6G6","sample239",1.54414351916304
"sample240","counts.pancreas%2c%20adult.CNhs10486.34-16E4","pancreas","adult.CNhs10486.34-16E4","sample240",0.177747511825563
"sample241","counts.pancreas%2c%20embryo%20E14.CNhs11012.405-44F4","pancreas","embryo E14.CNhs11012.405-44F4","sample241",0.909044099808913
"sample242","counts.pancreas%2c%20embryo%20E15.CNhs11042.1556-45F2","pancreas","embryo E15.CNhs11042.1556-45F2","sample242",0.733017981052017
"sample243","counts.pancreas%2c%20embryo%20E16.CNhs11003.460-26E5","pancreas","embryo E16.CNhs11003.460-26E5","sample243",1.20153973022693
"sample244","counts.pancreas%2c%20embryo%20E17.CNhs10599.1558-45G3","pancreas","embryo E17.CNhs10599.1558-45G3","sample244",0.747116698514834
"sample245","counts.pancreas%2c%20embryo%20E18.CNhs10580.1535-43I7","pancreas","embryo E18.CNhs10580.1535-43I7","sample245",0.769181727796311
"sample246","counts.pancreas%2c%20neonate%20N00.CNhs11105.645-26G9","pancreas","neonate N00.CNhs11105.645-26G9","sample246",0.959057614197111
"sample247","counts.pancreas%2c%20neonate%20N01.CNhs11138.1531-43D7","pancreas","neonate N01.CNhs11138.1531-43D7","sample247",0.66136362030671
"sample248","counts.pancreas%2c%20neonate%20N02.CNhs11139.1539-43D8","pancreas","neonate N02.CNhs11139.1539-43D8","sample248",0.66688515076851
"sample249","counts.pancreas%2c%20neonate%20N16.CNhs11136.787-43B6","pancreas","neonate N16.CNhs11136.787-43B6","sample249",0.75912424048517
"sample250","counts.pancreas%2c%20neonate%20N25.CNhs11094.1555-45E2","pancreas","neonate N25.CNhs11094.1555-45E2","sample250",0.222645087574668
"sample251","counts.pancreas%2c%20neonate%20N30.CNhs11182.1548-44H5","pancreas","neonate N30.CNhs11182.1548-44H5","sample251",0.231939658899545
"sample252","counts.pituitary%20gland%2c%20adult.CNhs10493.21-1G8","pituitary gland","adult.CNhs10493.21-1G8","sample252",0.753623438787696
"sample253","counts.pituitary%20gland%2c%20embryo%20E12.CNhs11018.346-16E6","pituitary gland","embryo E12.CNhs11018.346-16E6","sample253",1.31163311519748
"sample254","counts.pituitary%20gland%2c%20embryo%20E13.CNhs11009.370-44C7","pituitary gland","embryo E13.CNhs11009.370-44C7","sample254",1.72212972136745
"sample255","counts.pituitary%20gland%2c%20embryo%20E14.CNhs11037.398-44A5","pituitary gland","embryo E14.CNhs11037.398-44A5","sample255",1.09972612049229
"sample256","counts.pituitary%20gland%2c%20embryo%20E15.CNhs10592.427-16B9","pituitary gland","embryo E15.CNhs10592.427-16B9","sample256",1.37995389983166
"sample257","counts.pituitary%20gland%2c%20embryo%20E16.CNhs11036.449-43F6","pituitary gland","embryo E16.CNhs11036.449-43F6","sample257",1.35793689331056
"sample258","counts.pituitary%20gland%2c%20embryo%20E17.CNhs11039.1265-44F5","pituitary gland","embryo E17.CNhs11039.1265-44F5","sample258",1.48248468817462
"sample259","counts.pituitary%20gland%2c%20neonate%20N00.CNhs11190.1308-22E9","pituitary gland","neonate N00.CNhs11190.1308-22E9","sample259",0.759931755368148
"sample260","counts.placenta%2c%20adult%20pregnant%20day10.CNhs10472.539-13I7","placenta","adult pregnant day10.CNhs10472.539-13I7","sample260",1.02032943311013
"sample261","counts.placenta%2c%20adult%20pregnant%20day17.CNhs10464.577-18G3","placenta","adult pregnant day17.CNhs10464.577-18G3","sample261",1.19160141992386
"sample262","counts.prostate%2c%20adult.CNhs10470.859-1F8","prostate","adult.CNhs10470.859-1F8","sample262",1.07320770472677
"sample263","counts.skin%2c%20adult.CNhs10492.30-1C3","skin","adult.CNhs10492.30-1C3","sample263",1.52762870294494
"sample264","counts.skin%2c%20neonate%20N00.CNhs11124.650-25G4","skin","neonate N00.CNhs11124.650-25G4","sample264",1.56414460973203
"sample265","counts.skin%2c%20neonate%20N03.CNhs11215.662-22H3","skin","neonate N03.CNhs11215.662-22H3","sample265",4.11398103862618
"sample266","counts.skin%2c%20neonate%20N06.CNhs11097.693-20I5","skin","neonate N06.CNhs11097.693-20I5","sample266",2.0210243643441
"sample267","counts.skin%2c%20neonate%20N10.CNhs11108.762-6C4","skin","neonate N10.CNhs11108.762-6C4","sample267",1.47921462159131
"sample268","counts.small%20intestine%2c%20neonate%20N16.CNhs11114.790-21I1","small intestine","neonate N16.CNhs11114.790-21I1","sample268",0.84636297784952
"sample269","counts.spinal%20cord%2c%20adult.CNhs10505.24-13C9","spinal cord","adult.CNhs10505.24-13C9","sample269",1.35877438170168
"sample270","counts.spleen%2c%20adult.CNhs10465.25-2G2","spleen","adult.CNhs10465.25-2G2","sample270",1.33255766826133
"sample271","counts.spleen%2c%20embryo%20E16.CNhs11035.461-43C1","spleen","embryo E16.CNhs11035.461-43C1","sample271",1.12972622195751
"sample272","counts.spleen%2c%20embryo%20E18.CNhs11011.1271-21F2","spleen","embryo E18.CNhs11011.1271-21F2","sample272",1.24218836838035
"sample273","counts.spleen%2c%20neonate%20N10.CNhs11116.752-24D1","spleen","neonate N10.CNhs11116.752-24D1","sample273",1.18206759338806
"sample274","counts.spleen%2c%20neonate%20N20.CNhs11112.824-19H1","spleen","neonate N20.CNhs11112.824-19H1","sample274",1.66543989801719
"sample275","counts.spleen%2c%20neonate%20N25.CNhs11099.1354-25G3","spleen","neonate N25.CNhs11099.1354-25G3","sample275",0.991990947722837
"sample276","counts.stem%20cell%20%28cKit%2b%20Sca1-%20lineage-%29%20KSL%2c%20biol_rep1.CNhs12534.12121-128C6","stem cell (cKit+ Sca1- lineage-) KSL","biol_rep1.CNhs12534.12121-128C6","sample276",1.38718408683309
"sample277","counts.stem%20cell%20%28cKit%2b%20Sca1-%20lineage-%29%20KSL%2c%20biol_rep2.CNhs12535.12124-128C9","stem cell (cKit+ Sca1- lineage-) KSL","biol_rep2.CNhs12535.12124-128C9","sample277",1.70288334186781
"sample278","counts.stem%20cell%20%28cKit%2b%20Sca1-%20lineage-%29%20KSL%2c%20biol_rep3.CNhs12536.12127-128D3","stem cell (cKit+ Sca1- lineage-) KSL","biol_rep3.CNhs12536.12127-128D3","sample278",1.72728018288345
"sample279","counts.stomach%2c%20adult.CNhs10503.33-1H6","stomach","adult.CNhs10503.33-1H6","sample279",0.243626057845423
"sample280","counts.stomach%2c%20embryo%20E12.CNhs10588.356-43E3","stomach","embryo E12.CNhs10588.356-43E3","sample280",1.45156355995244
"sample281","counts.stomach%2c%20embryo%20E15.CNhs10603.1252-16G8","stomach","embryo E15.CNhs10603.1252-16G8","sample281",1.170207517881
"sample282","counts.stomach%2c%20embryo%20E16.CNhs11022.459-17D4","stomach","embryo E16.CNhs11022.459-17D4","sample282",2.17551887364496
"sample283","counts.stomach%2c%20embryo%20E17.CNhs11006.1035-18D5","stomach","embryo E17.CNhs11006.1035-18D5","sample283",1.1248935707495
"sample284","counts.stomach%2c%20embryo%20E18.CNhs10999.1286-20C6","stomach","embryo E18.CNhs10999.1286-20C6","sample284",1.0769463499335
"sample285","counts.stomach%2c%20neonate%20N03.CNhs11193.1340-24B8","stomach","neonate N03.CNhs11193.1340-24B8","sample285",1.7817308320328
"sample286","counts.stomach%2c%20neonate%20N07.CNhs11210.718-18A9","stomach","neonate N07.CNhs11210.718-18A9","sample286",2.98162504121823
"sample287","counts.stomach%2c%20neonate%20N25.CNhs11104.1355-25E4","stomach","neonate N25.CNhs11104.1355-25E4","sample287",0.914737235728799
"sample288","counts.stomach%2c%20neonate%20N30.CNhs11134.1386-42I1","stomach","neonate N30.CNhs11134.1386-42I1","sample288",1.884181247944
"sample289","counts.submandibular%20gland%2c%20adult.CNhs10469.59-29C1","submandibular gland","adult.CNhs10469.59-29C1","sample289",0.392700750911691
"sample290","counts.testis%2c%20adult.CNhs10504.57-7G5","testis","adult.CNhs10504.57-7G5","sample290",0.488507482373683
"sample291","counts.testis%2c%20embryo%20E13.CNhs11031.389-23F5","testis","embryo E13.CNhs11031.389-23F5","sample291",1.59495620431087
"sample292","counts.testis%2c%20embryo%20E15.CNhs11034.443-27C5","testis","embryo E15.CNhs11034.443-27C5","sample292",1.39311796038687
"sample293","counts.testis%2c%20embryo%20E16.CNhs11033.470-26G5","testis","embryo E16.CNhs11033.470-26G5","sample293",1.24421628010152
"sample294","counts.testis%2c%20embryo%20E17.CNhs11029.486-18I5","testis","embryo E17.CNhs11029.486-18I5","sample294",1.82338159617237
"sample295","counts.testis%2c%20embryo%20E18.CNhs11027.503-18G5","testis","embryo E18.CNhs11027.503-18G5","sample295",1.42379115933838
"sample296","counts.testis%2c%20neonate%20N00.CNhs11189.1300-22B7","testis","neonate N00.CNhs11189.1300-22B7","sample296",2.09745819152326
"sample297","counts.testis%2c%20neonate%20N07.CNhs11222.726-26I4","testis","neonate N07.CNhs11222.726-26I4","sample297",1.90798896501059
"sample298","counts.testis%2c%20neonate%20N10.CNhs11204.763-44D9","testis","neonate N10.CNhs11204.763-44D9","sample298",2.39328763787242
"sample299","counts.testis%2c%20neonate%20N20.CNhs11110.839-18H3","testis","neonate N20.CNhs11110.839-18H3","sample299",1.06524332090876
"sample300","counts.testis%2c%20neonate%20N30.CNhs11130.1391-42E2","testis","neonate N30.CNhs11130.1391-42E2","sample300",0.951705769400216
"sample301","counts.thymus%2c%20adult.CNhs10471.38-12B5","thymus","adult.CNhs10471.38-12B5","sample301",0.763307474681299
"sample302","counts.thymus%2c%20embryo%20E14.CNhs11041.402-44I4","thymus","embryo E14.CNhs11041.402-44I4","sample302",1.09358496430326
"sample303","counts.thymus%2c%20embryo%20E15.CNhs11005.430-45I2","thymus","embryo E15.CNhs11005.430-45I2","sample303",2.1794129567401
"sample304","counts.thymus%2c%20embryo%20E16.CNhs11002.456-26C5","thymus","embryo E16.CNhs11002.456-26C5","sample304",1.73687475168305
"sample305","counts.thymus%2c%20embryo%20E17.CNhs10581.478-18C1","thymus","embryo E17.CNhs10581.478-18C1","sample305",1.29116726760857
"sample306","counts.thymus%2c%20embryo%20E18.CNhs10595.1273-19G4","thymus","embryo E18.CNhs10595.1273-19G4","sample306",1.19086057854499
"sample307","counts.thymus%2c%20neonate%20N02.CNhs11181.1541-43F8","thymus","neonate N02.CNhs11181.1541-43F8","sample307",1.96999811631126
"sample308","counts.thymus%2c%20neonate%20N03.CNhs11137.2104-43C7","thymus","neonate N03.CNhs11137.2104-43C7","sample308",1.59116704756397
"sample309","counts.thymus%2c%20neonate%20N06.CNhs11197.681-26C4","thymus","neonate N06.CNhs11197.681-26C4","sample309",2.3665963582763
"sample310","counts.thymus%2c%20neonate%20N07.CNhs11211.713-19D3","thymus","neonate N07.CNhs11211.713-19D3","sample310",3.14181355658967
"sample311","counts.thymus%2c%20neonate%20N10.CNhs11194.748-24E4","thymus","neonate N10.CNhs11194.748-24E4","sample311",2.35223388520389
"sample312","counts.thymus%2c%20neonate%20N20.CNhs11186.820-7A2","thymus","neonate N20.CNhs11186.820-7A2","sample312",2.49405057496204
"sample313","counts.thymus%2c%20neonate%20N25.CNhs11125.1362-25G7","thymus","neonate N25.CNhs11125.1362-25G7","sample313",2.52805038094103
"sample314","counts.thymus%2c%20neonate%20N30.CNhs11132.1393-42G2","thymus","neonate N30.CNhs11132.1393-42G2","sample314",2.15291463217651
"sample315","counts.tongue%2c%20adult.CNhs10499.32-1B4","tongue","adult.CNhs10499.32-1B4","sample315",1.06206823364836
"sample316","counts.urinary%20bladder%2c%20adult.CNhs10481.879-12E4","urinary bladder","adult.CNhs10481.879-12E4","sample316",1.27775761100177
"sample317","counts.uterus%2c%20adult%20pregnant%20day19.CNhs10497.590-15F5","uterus","adult pregnant day19.CNhs10497.590-15F5","sample317",1.29610785599633
"sample318","counts.uterus%2c%20adult.CNhs10509.92-27E5","uterus","adult.CNhs10509.92-27E5","sample318",1.33703571950551
"sample319","counts.vagina%2c%20adult.CNhs10502.89-27D5","vagina","adult.CNhs10502.89-27D5","sample319",1.11964114285444
"sample320","counts.vesicular%20gland%2c%20adult.CNhs10491.51-27F8","vesicular gland","adult.CNhs10491.51-27F8","sample320",0.479942509454562
"sample321","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N15%2c%20donor1.CNhs13031.10235-104A1","visual cortex - wildtype","donor1.CNhs13031.10235-104A1","sample321",0.437387920661711
"sample322","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N15%2c%20donor2.CNhs13032.10236-104A2","visual cortex - wildtype","donor2.CNhs13032.10236-104A2","sample322",0.530447647910467
"sample323","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N15%2c%20donor3.CNhs13033.10237-104A3","visual cortex - wildtype","donor3.CNhs13033.10237-104A3","sample323",0.428909764144217
"sample324","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N15%2c%20donor5.CNhs13820.10349-105D7","visual cortex - wildtype","donor5.CNhs13820.10349-105D7","sample324",1.42227399138205
"sample325","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N30%2c%20donor1.CNhs13034.10238-104A4","visual cortex - wildtype","donor1.CNhs13034.10238-104A4","sample325",0.357555605913938
"sample326","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N30%2c%20donor2.CNhs13035.10239-104A5","visual cortex - wildtype","donor2.CNhs13035.10239-104A5","sample326",0.328055476441284
"sample327","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N30%2c%20donor3.CNhs13036.10240-104A6","visual cortex - wildtype","donor3.CNhs13036.10240-104A6","sample327",0.362215818007103
"sample328","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N60-70%2c%20donor1.CNhs13037.10241-104A7","visual cortex - wildtype","donor1.CNhs13037.10241-104A7","sample328",0.539973521370299
"sample329","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N60-70%2c%20donor2.CNhs13038.10242-104A8","visual cortex - wildtype","donor2.CNhs13038.10242-104A8","sample329",0.542697447005397
"sample330","counts.visual%20cortex%20-%20wildtype%2c%20neonate%20N60-70%2c%20donor3.CNhs13039.10243-104A9","visual cortex - wildtype","donor3.CNhs13039.10243-104A9","sample330",0.474119210438421
