"","sample","tissue","other","sampleGood","sizeFactor"
"sample076","counts.Mouse%20Neurons%20-%20ventral%20spinal%20cord%2c%20donor3.CNhs12113.11648-122E1","Mouse Neurons - ventral spinal cord","donor3.CNhs12113.11648-122E1","sample076",1.29129794666469
"sample077","counts.Mouse%20Schwann%2c%20donor1.CNhs12507.11728-123D9","Mouse Schwann","donor1.CNhs12507.11728-123D9","sample077",3.00276754013733
"sample078","counts.Mouse%20Schwann%2c%20donor2.CNhs12573.11746-123F9","Mouse Schwann","donor2.CNhs12573.11746-123F9","sample078",3.07918754275609
"sample079","counts.Mouse%20hepatic%20Sinusoidal%20Endothelial%20Cells%2c%20donor1.CNhs13209.11830-124G3","Mouse hepatic Sinusoidal Endothelial Cells","donor1.CNhs13209.11830-124G3","sample079",0.902357024835253
"sample080","counts.Mouse%20hepatic%20Stellate%20Cells%20%28lipocyte%29%2c%20donor1.CNhs13196.11825-124F7","Mouse hepatic Stellate Cells (lipocyte)","donor1.CNhs13196.11825-124F7","sample080",0.273099481399172
"sample081","counts.Mouse%20hepatocyte%2c%20donor1.CNhs13078.11714-123C4","Mouse hepatocyte","donor1.CNhs13078.11714-123C4","sample081",0.319501720238173
"sample082","counts.Mouse%20hepatocyte%2c%20donor3.CNhs12615.11637-122C8","Mouse hepatocyte","donor3.CNhs12615.11637-122C8","sample082",0.418445233051769
"sample083","counts.Mouse%20hepatocyte%2c%20donor6.CNhs13090.11822-124F4","Mouse hepatocyte","donor6.CNhs13090.11822-124F4","sample083",0.360729047143115
"sample084","counts.Mouse%20hepatocyte%2c%20donor8.CNhs13091.11824-124F6","Mouse hepatocyte","donor8.CNhs13091.11824-124F6","sample084",0.522406977782238
"sample085","counts.ST2%20%28Mesenchymal%20stem%20cells%29%20cells%2c%20medium%20change%20%28without%20induction%29%2c%2000hr%2c%20biol_rep1%20%28000hC4%29.CNhs11939.12338-130I7","ST2 (Mesenchymal stem cells) cells","biol_rep1 (000hC4).CNhs11939.12338-130I7","sample085",1.33842273881827
"sample086","counts.ST2%20%28Mesenchymal%20stem%20cells%29%20cells%2c%20medium%20change%20%28without%20induction%29%2c%2000hr%2c%20biol_rep2%20%28000hC5%29.CNhs13275.12460-132E3","ST2 (Mesenchymal stem cells) cells","biol_rep2 (000hC5).CNhs13275.12460-132E3","sample086",0.836902992023313
"sample087","counts.ST2%20%28Mesenchymal%20stem%20cells%29%20cells%2c%20medium%20change%20%28without%20induction%29%2c%2000hr%2c%20biol_rep3%20%28000hC6%29.CNhs13324.12582-133I8","ST2 (Mesenchymal stem cells) cells","biol_rep3 (000hC6).CNhs13324.12582-133I8","sample087",0.607640134812615
"sample088","counts.Sox2%2b%20Supporting%20cells%20-%20organ%20of%20corti%2c%20pool1.CNhs12532.12157-128G6","Sox2+ Supporting cells - organ of corti","pool1.CNhs12532.12157-128G6","sample088",1.72225108789542
"sample089","counts.TSt-4%2fDLL1%20feeder%20cells%2c%20biol_rep1.CNhs13407.12971-138H1","TSt-4/DLL1 feeder cells","biol_rep1.CNhs13407.12971-138H1","sample089",0.187112738434736
"sample090","counts.TSt-4%2fDLL1%20feeder%20cells%2c%20biol_rep2.CNhs13408.12987-138I8","TSt-4/DLL1 feeder cells","biol_rep2.CNhs13408.12987-138I8","sample090",0.0975531667916147
"sample091","counts.TSt-4%2fDLL1%20feeder%20cells%2c%20biol_rep3.CNhs13409.13003-139B6","TSt-4/DLL1 feeder cells","biol_rep3.CNhs13409.13003-139B6","sample091",0.0345110298068155
"sample092","counts.Tracheal%20epithelial%20cells%2c%20differentiation%20to%20ciliated%20epithelial%20cells%2c%20000hr%2c%20biol_rep1.CNhs13739.13367-143G1","Tracheal epithelial cells","biol_rep1.CNhs13739.13367-143G1","sample092",0.993433147124913
"sample093","counts.Tracheal%20epithelial%20cells%2c%20differentiation%20to%20ciliated%20epithelial%20cells%2c%20000hr%2c%20biol_rep2.CNhs13740.13368-143G2","Tracheal epithelial cells","biol_rep2.CNhs13740.13368-143G2","sample093",0.842466185529056
"sample094","counts.Tracheal%20epithelial%20cells%2c%20differentiation%20to%20ciliated%20epithelial%20cells%2c%20000hr%2c%20biol_rep3.CNhs13741.13369-143G3","Tracheal epithelial cells","biol_rep3.CNhs13741.13369-143G3","sample094",0.42241668257504
"sample095","counts.accessory%20axillary%20lymph%20node%2c%20adult.CNhs10475.1063-29H9","accessory axillary lymph node","adult.CNhs10475.1063-29H9","sample095",1.00923596733175
"sample096","counts.adrenal%20gland%2c%20adult.CNhs10508.49-24D7","adrenal gland","adult.CNhs10508.49-24D7","sample096",1.66338247279107
"sample097","counts.adrenal%20gland%2c%20embryo%20E14.CNhs11038.406-44C5","adrenal gland","embryo E14.CNhs11038.406-44C5","sample097",1.29689262931707
"sample098","counts.adrenal%20gland%2c%20embryo%20E16.CNhs11004.1254-43D6","adrenal gland","embryo E16.CNhs11004.1254-43D6","sample098",0.736999264658871
"sample099","counts.adrenal%20gland%2c%20embryo%20E17.CNhs11043.1263-45I1","adrenal gland","embryo E17.CNhs11043.1263-45I1","sample099",0.990497060296186
"sample100","counts.adrenal%20gland%2c%20embryo%20E18.CNhs11026.1262-18F5","adrenal gland","embryo E18.CNhs11026.1262-18F5","sample100",1.54427784297061
"sample101","counts.adrenal%20gland%2c%20neonate%20N00.CNhs11191.1311-23C1","adrenal gland","neonate N00.CNhs11191.1311-23C1","sample101",2.10048946654929
"sample102","counts.adrenal%20gland%2c%20neonate%20N25.CNhs11223.1377-27I3","adrenal gland","neonate N25.CNhs11223.1377-27I3","sample102",1.89901055140812
"sample103","counts.amnion%2c%20adult%20pregnant%20day17%2e5.CNhs10488.583-22A8","amnion","adult pregnant day17.5.CNhs10488.583-22A8","sample103",1.02329065264556
"sample104","counts.aorta%2c%20adult.CNhs10498.46-23H1","aorta","adult.CNhs10498.46-23H1","sample104",1.72598779569961
"sample105","counts.bone%20%28os%20femoris%29%2c%20adult.CNhs10483.56-12G2","bone (os femoris)","adult.CNhs10483.56-12G2","sample105",0.265570643273018
"sample106","counts.bone%20%28os%20femoris%29%2c%20neonate%20N02.CNhs11227.1985-43F5","bone (os femoris)","neonate N02.CNhs11227.1985-43F5","sample106",1.47473482527444
"sample107","counts.bone%20%28os%20femoris%29%2c%20neonate%20N16.CNhs11225.1525-43A6","bone (os femoris)","neonate N16.CNhs11225.1525-43A6","sample107",1.07743270649647
"sample108","counts.bone%20%28os%20femoris%29%2c%20neonate%20N20.CNhs11195.1350-25C3","bone (os femoris)","neonate N20.CNhs11195.1350-25C3","sample108",0.483618779863547
"sample109","counts.cecum%2c%20adult.CNhs10467.37-13H4","cecum","adult.CNhs10467.37-13H4","sample109",0.126821182969324
"sample110","counts.cerebellum%2c%20adult.CNhs10494.15-8B2","cerebellum","adult.CNhs10494.15-8B2","sample110",0.88930624464998
"sample111","counts.cerebellum%2c%20neonate%20N30.CNhs11135.1395-42I2","cerebellum","neonate N30.CNhs11135.1395-42I2","sample111",1.26105925809336
"sample112","counts.colon%2c%20adult.CNhs10468.36-18H7","colon","adult.CNhs10468.36-18H7","sample112",0.93910115892818
"sample113","counts.common%20myeloid%20progenitor%20CMP%2c%20biol_rep1.CNhs12550.12122-128C7","common myeloid progenitor CMP","biol_rep1.CNhs12550.12122-128C7","sample113",1.9061440999083
"sample114","counts.common%20myeloid%20progenitor%20CMP%2c%20biol_rep2.CNhs12203.12125-128D1","common myeloid progenitor CMP","biol_rep2.CNhs12203.12125-128D1","sample114",0.357027580559341
"sample115","counts.common%20myeloid%20progenitor%20CMP%2c%20biol_rep3.CNhs12551.12128-128D4","common myeloid progenitor CMP","biol_rep3.CNhs12551.12128-128D4","sample115",1.76180886563292
"sample116","counts.corpora%20quadrigemina%2c%20adult.CNhs10501.16-22A4","corpora quadrigemina","adult.CNhs10501.16-22A4","sample116",1.66678630150662
"sample117","counts.corpus%20striatum%2c%20adult.CNhs10487.19-21D8","corpus striatum","adult.CNhs10487.19-21D8","sample117",0.549764583979349
"sample118","counts.corpus%20striatum%2c%20neonate%20N00.CNhs11226.630-43F1","corpus striatum","neonate N00.CNhs11226.630-43F1","sample118",1.99792437997925
"sample119","counts.cortex%2c%20adult.CNhs10473.12-14D5","cortex","adult.CNhs10473.12-14D5","sample119",1.44838408889941
"sample120","counts.cortex%2c%20neonate%20N30.CNhs11107.1392-42F2","cortex","neonate N30.CNhs11107.1392-42F2","sample120",0.99615949664306
"sample121","counts.diencephalon%2c%20adult.CNhs10482.20-12F2","diencephalon","adult.CNhs10482.20-12F2","sample121",1.19078456514932
"sample122","counts.diencephalon%2c%20neonate%20N30.CNhs11201.1388-42B2","diencephalon","neonate N30.CNhs11201.1388-42B2","sample122",1.55236952691811
"sample123","counts.epididymis%20and%20seminiferous%20tubule%2c%20neonate%20N00.CNhs11218.1310-23B1","epididymis and seminiferous tubule","neonate N00.CNhs11218.1310-23B1","sample123",2.40214475649205
"sample124","counts.epididymis%20and%20seminiferous%20tubule%2c%20neonate%20N30.CNhs11199.1387-42A2","epididymis and seminiferous tubule","neonate N30.CNhs11199.1387-42A2","sample124",1.95463966857923
"sample125","counts.epididymis%2c%20adult.CNhs10490.58-23B2","epididymis","adult.CNhs10490.58-23B2","sample125",0.953181560799207
"sample126","counts.eyeball%2c%20adult.CNhs10484.31-12G4","eyeball","adult.CNhs10484.31-12G4","sample126",1.1931242106692
"sample127","counts.eyeball%2c%20embryo%20E12.CNhs11016.345-16C6","eyeball","embryo E12.CNhs11016.345-16C6","sample127",1.77478786448588
